expert_q,N,seed,astar_in_mask,nv_logger,nv_ceiling,nv_floor_masked,nv_floor_bare,nv_bc,nv_bc_masked,nv_dt_vanilla,nv_dt_vanilla_masked,nv_dt_structured,nv_dt_structured_masked,nv_eto_struct,nv_eto_struct_masked,nv_eto_uncon,nv_eto_uncon_masked
0.75,1600,1,0.6785714285714286,0.13895924977738663,0.4337773514085293,0.10379934582466135,-1.950408568641819,0.1362902468865708,0.1362902468865708,0.20060703496089252,0.20060703496089252,0.12191506849785677,0.21966640546516844,-2.3747331537666043,0.20383009535199337,0.7891853928150494,0.427846169884833
0.75,1600,2,0.6726190476190477,0.13999835729705304,0.4299288968819139,0.11640952797652664,-1.943668354317618,0.23489871361042558,0.23489871361042558,0.17947533158022866,0.18896880667602187,0.04771245360806666,0.20694686182421565,-2.4964033324056176,0.18605939365808286,0.7651701988059244,0.4265197324267262
1.0,100,0,0.8273809523809523,0.4425289704836447,0.9697264283575427,0.48875749457346074,-1.9515117002081923,0.4160826377197598,0.3413410474695247,0.6816639689112843,0.6264311056655503,0.5636972740552887,0.7582643821533064,-4.274145372765281,0.48672153150155245,0.4029106881944595,0.9616009691101213
1.0,100,1,0.8273809523809523,0.4237714776123379,0.9962124761985861,0.4294446805670499,-1.9513310661531904,0.38431176780125315,0.3493858392372748,0.4754242654539793,0.6034700787991946,0.6261733652262863,0.8273785955053472,-4.517644857198807,0.47608023058230836,0.01677496011024165,0.9962124761985861
1.0,100,2,0.7916666666666666,0.43735421716528083,0.9854976249667895,0.42980740524536876,-2.042486706238889,0.4658302444731088,0.4251886338598856,0.40079936227088425,0.4919972134684511,0.627021305567696,0.6903277622133458,-4.643456698872836,0.36991539533460793,0.5010823041670184,0.9770984979622718
1.0,400,0,0.8511904761904762,0.42622944334661433,0.9982500147178773,0.44820084411493794,-1.90913536279832,0.3889964161578523,0.3212112197588621,0.5970742197900616,0.6160879077290352,0.7585968964197736,0.8351719153760753,-3.9071880382772277,0.46279798517120174,0.7505155977492266,0.9982500147178773
1.0,400,1,0.8333333333333334,0.41607357322358907,0.9990277928436812,0.41396281461218903,-1.9766310924156487,0.4369570599164785,0.3101298245885659,0.4728084155899789,0.5237093674626064,0.6595138330365876,0.7749016509739788,-4.264003246022397,0.5374322904737859,0.8331176771012625,0.9990277928436802
1.0,400,2,0.8452380952380952,0.4139927947142126,0.998752922189755,0.46080061456064025,-1.8932249631722808,0.27359759385369437,0.27359759385369437,0.6074976749343716,0.5943702965264411,0.7136614056037475,0.8108609061897674,-2.7669689664015666,0.4256120634700074,0.41102113347085983,0.9759630571795533
1.0,1600,0,0.875,0.42783536382315385,0.9982787401616482,0.5093381015104614,-1.9106503848611505,0.37459245430124416,0.28403527706543746,0.6160894805225527,0.5868776023153242,0.6817465510133162,0.7990107935697515,-2.536465853345397,0.6103298329893736,0.9552308749398427,0.9979937188537894
1.0,1600,1,0.8630952380952381,0.428612056621901,0.9985560466262827,0.49486115273267683,-1.944610747448155,0.3548927712770759,0.2455664633702651,0.5938529211977305,0.5869480664742927,0.719988273547531,0.7556866129042586,-2.7184895785086276,0.5321940435062756,0.3346235043652101,0.9982232546725673
1.0,1600,2,0.8690476190476191,0.4199969417691029,0.9985288933792354,0.504380801237486,-1.9250832425034894,0.3636630746900196,0.3636630746900196,0.5601636543326289,0.5551228262724524,0.6731051640995596,0.738660281894767,-2.5867889715285246,0.5228515992830424,0.8284744943376544,0.9985288933792354
