seed,model,t,ref_bin,action,price,true_demand,estimated_demand,true_revenue,estimated_revenue,true_dynamic_q,estimated_dynamic_q
0,structured,0,4,2,0.8,59.8687660112452,42.31441879272461,47.895012808996164,33.85153503417969,418.5638052391425,1485.8099355816842
0,structured,0,4,3,0.95,41.338242108267,23.777801513671875,39.27133000285365,22.58891143798828,410.12518888898757,1474.9324449300766
0,structured,0,4,4,1.1,24.973989440488236,13.361490249633789,27.47138838453706,14.697639274597169,413.53492672008457,1508.817328351736
0,structured,0,4,5,1.25,13.587289700909427,7.508241176605225,16.984112126136782,9.38530147075653,404.0814902850063,1503.7185725867748
0,structured,0,4,6,1.4,6.913842034334684,4.219116687774658,9.679378848068557,5.906763362884521,404.4920366923801,1501.562716448307
0,structured,0,4,7,1.55,3.389516415917814,2.370854139328003,5.253750444672612,3.6748239159584046,402.9014957528714,1499.8416666090488
0,structured,0,4,8,1.7,1.6302499371440946,1.3322560787200928,2.7714248931449608,2.264835333824158,411.69843729210857,1620.850841116905
0,structured,0,4,9,1.85,0.7767570078015005,0.7486369013786316,1.4370004644327758,1.3849782675504683,423.31054385176617,1621.6436553686856
0,structured,0,4,10,2.0,0.3684239899435989,0.4206824004650116,0.7368479798871977,0.8413648009300232,427.6886040628799,1622.5124094963073
0,structured,0,5,0,0.5,89.33094060543488,155.49961853027344,44.66547030271744,77.74980926513672,409.98966517151285,1528.023131787777
0,structured,0,5,1,0.65,79.81867777396212,87.46086120605469,51.88214055307538,56.84955978393555,422.4029071573079,1508.6848376393318
0,structured,0,5,2,0.8,65.13548646660541,49.192386627197266,52.10838917328434,39.35390930175782,422.7771816034307,1491.3123098492622
0,structured,0,5,3,0.95,46.87906266262438,27.668283462524414,44.535109529493155,26.28486928939819,415.3889684156271,1478.6284027814863
0,structured,0,5,4,1.1,29.42149721629887,15.562037467956543,32.36364693792876,17.1182412147522,419.46102509679827,1511.4515123307706
0,structured,0,5,5,1.25,16.451646289656317,8.752874374389648,20.564557862070394,10.94109296798706,407.6619360209399,1505.2743640840054
0,structured,0,5,6,1.4,8.509904500702028,4.923059940338135,11.91386630098284,6.892283916473389,406.7265241452944,1502.5482370018958
0,structured,0,5,7,1.55,4.208772791561882,2.768976926803589,6.523597826920918,4.291914236545563,404.17134313511974,1500.4587569296361
0,structured,0,5,8,1.7,2.033235334265876,1.5574121475219727,3.4565000682519895,2.6476006507873535,425.3300434555854,1622.9062777519225
0,structured,0,5,9,1.85,0.9708476481474066,0.8759670853614807,1.7960681490727022,1.6205391079187392,423.6696115364061,1621.879216209054
0,structured,0,5,10,2.0,0.46095721793742084,0.49268829822540283,0.9219144358748417,0.9853765964508057,427.8736705188675,1622.656421291828
0,structured,0,6,0,0.5,91.29342275597287,180.4635772705078,45.646711377986435,90.2317886352539,416.16747798221894,1542.0670664906502
0,structured,0,6,1,0.65,83.20183851339245,101.59928894042969,54.08119503370509,66.0395378112793,424.7499874638514,1517.9979383587838
0,structured,0,6,2,0.8,70.0567142473973,57.19943618774414,56.04537139791784,45.75954895019532,426.8992302840518,1498.1030824422835
0,structured,0,6,3,0.95,52.497918747894005,32.20274353027344,49.8730228104993,30.592606353759763,435.9365611460468,1524.7122954308986
0,structured,0,6,4,1.1,34.29895373265011,18.129838943481445,37.728849105915124,19.942822837829592,424.8262272647846,1514.276093953848
0,structured,0,6,5,1.25,19.781611144141824,10.206928253173828,24.72701393017728,12.758660316467285,419.53967177448885,1508.4146134018897
0,structured,0,6,6,1.4,10.433122311900135,5.74640417098999,14.606371236660188,8.044965839385986,412.254116544859,1504.2118085324764
0,structured,0,6,7,1.55,5.2153563078417715,3.23517107963562,8.083802277154746,5.014515173435211,417.01081467611834,1623.6005209565162
0,structured,0,6,8,1.7,2.5332703226871733,1.8213698863983154,4.3065595485681945,3.096328806877136,426.1801029359016,1623.3550059080123
0,structured,0,6,9,1.85,1.2128434984274248,1.0254144668579102,2.243760472090736,1.8970167636871336,429.19551655508343,1623.5680614590644
