seed,model,t,ref_bin,ref_price,true_action,chosen_action,true_price,chosen_price,price_index_error,wrong_action,action_regret,policy_regret,inmodel_optimism,demand_log_rmse,demand_log_error_at_chosen,state_visit_count,selected_support_count,selected_support_share,selected_in_topk_support
4,structured,6,15,1.625,4,10,1.1,2.0,6,1,58.10347831646,106.6512769721206,517.218055103716,0.8591383413088789,-0.1574689481448064,0,0,0.0,0
4,structured,6,16,1.7,4,10,1.1,2.0,6,1,59.811788097273606,108.3595867529342,516.4613721028335,0.938730213215158,-0.21086968616046442,0,0,0.0,0
4,structured,6,17,1.775,5,0,1.25,0.5,5,1,60.7375849206456,76.47059235899373,530.142148477183,1.025914686812769,2.2983459599496694,0,0,0.0,1
4,structured,6,18,1.85,5,0,1.25,0.5,5,1,66.39211341277084,84.4094570124878,640.5954921544845,1.1180606207156307,2.465423871051768,0,0,0.0,1
4,structured,6,19,1.925,6,0,1.4,0.5,6,1,71.9189411328151,89.93628473253207,748.045394119395,1.2145219779066183,2.632942122456144,0,0,0.0,1
4,structured,6,20,2.0,5,0,1.25,0.5,5,1,75.0475877133415,96.36449705039843,897.8669398760481,1.3148133344364545,2.800320300578748,0,0,0.0,1
4,structured,7,0,0.5,0,0,0.5,0.5,0,0,0.0,0.0,6.2887382437927215,0.44506643531731904,0.15874984323576946,2,2,1.0,1
4,structured,7,1,0.575,1,0,0.65,0.5,1,1,1.429709824048821,1.429709824048821,10.612252111950184,0.4087012770862032,0.24262742801262238,0,0,0.0,1
4,structured,7,2,0.65,1,0,0.65,0.5,1,1,2.9322834916964453,2.9322834916964453,16.173662285140644,0.3795417957310784,0.3360081704862914,28,0,0.0,1
4,structured,7,3,0.725,1,0,0.65,0.5,1,1,4.431820948969644,4.431820948969644,23.192156457882092,0.35992351018425567,0.43872239664904455,0,0,0.0,1
4,structured,7,4,0.8,1,0,0.65,0.5,1,1,5.8736333198421065,5.8736333198421065,31.784148388560048,0.35120946980829304,0.5485613068408552,2,0,0.0,1
4,structured,7,5,0.875,2,0,0.8,0.5,2,1,7.442918870566899,7.442918870566899,42.113605319841156,0.35427935739110505,0.6641648016928325,36,0,0.0,1
4,structured,7,6,0.95,2,0,0.8,0.5,2,1,10.398660019931405,10.398660019931405,54.39225956927919,0.3695145890160445,0.7846282550104293,11,0,0.0,1
4,structured,7,7,1.025,2,0,0.8,0.5,2,1,13.181969722919256,13.181969722919256,68.86630455765078,0.3962044316494512,0.9091512012649847,13,0,0.0,1
4,structured,7,8,1.1,2,0,0.8,0.5,2,1,15.733007438348125,15.733007438348125,85.82357573830282,0.43291315322712876,1.0370383483966208,8,0,0.0,1
4,structured,7,9,1.175,2,0,0.8,0.5,2,1,18.017343599716973,18.017343599716973,105.60097995336253,0.47798722241745056,1.1676950532231185,0,0,0.0,1
4,structured,7,10,1.25,3,0,0.95,0.5,3,1,21.316909337056927,21.316909337056927,128.51536170119084,0.5298977375222065,1.3001831772640617,0,0,0.0,1
4,structured,7,11,1.325,3,0,0.95,0.5,3,1,24.931114062154563,24.931114062154563,155.05744658743316,0.5874000661811116,1.4344095808118178,0,0,0.0,1
4,structured,7,12,1.4,3,0,0.95,0.5,3,1,28.156202299428728,28.156202299428728,185.79729345369594,0.6495266827241064,1.570243167210755,0,0,0.0,1
4,structured,7,13,1.475,3,0,0.95,0.5,3,1,30.980921256910243,30.980921256910243,221.33249847683737,0.7155696396295147,1.707297838709942,0,0,0.0,1
4,structured,7,14,1.55,4,0,1.1,0.5,4,1,34.32218869332265,34.32218869332265,262.3765432488423,0.7850002939982024,1.845340539775079,0,0,0.0,1
4,structured,7,15,1.625,4,0,1.1,0.5,4,1,38.42212809401761,38.42212809401761,309.51626638054995,0.857439734103376,1.9835155505148725,0,0,0.0,1
