expert_q,N,seed,astar_in_mask,nv_logger,nv_ceiling,nv_floor_masked,nv_floor_bare,nv_bc,nv_bc_masked,nv_eto_struct,nv_eto_struct_masked,nv_eto_uncon,nv_eto_uncon_masked
0.5,100,2,0.13690476190476192,-0.06313257437268702,0.17279111272169595,-0.04534184144821159,-1.9844591129620612,-0.16346374940766242,-0.10293726718296684,-3.3484222800430485,0.006596318995948393,0.8999525530557595,0.1614400378032577
0.5,100,3,0.14285714285714285,-0.05618054785028679,0.1864747538046332,-0.021324668623463803,-1.7811867823701257,-0.05359162558168348,-0.043570211421872514,-3.761204684817457,-0.17557392311814835,0.8753362781077707,0.17208308568586098
0.5,100,4,0.14285714285714285,-0.1054595037121534,0.14057087609267313,-0.0598514406184362,-2.0263949798102603,-0.11295426056590863,-0.08066242089246556,-4.41183782329067,0.0038236998315033556,0.7905822063643959,0.13716229359201051
0.5,400,0,0.16071428571428573,-0.07973031115527336,0.21721018265721287,-0.0471350294662931,-1.9237711485790054,-0.09565606985645816,-0.09156305963844594,-3.729868516752114,-0.19788023618859835,0.8565714796827251,0.215447336208776
0.5,400,1,0.15476190476190477,-0.08486680959723636,0.19572582314492357,-0.04804598385876066,-1.9390742141668347,-0.11732349212790351,-0.11732349212790351,-3.5882281030320544,0.030863046078078674,0.847435354272444,0.18056353061860797
0.5,400,2,0.1488095238095238,-0.09435875946314519,0.17457929419659837,-0.05400324340716347,-1.9618142055201373,-0.08199546791181031,-0.07732909051343609,-3.3136649101937588,-0.13498027821561584,0.9076116270586123,0.17006147222292126
0.5,400,3,0.1488095238095238,-0.07266824770058733,0.18514927046769905,-0.0517155559573881,-1.8119467509680658,-0.0854426917174904,-0.0854426917174904,-3.1914733888097992,-0.1991507514131066,0.8373723357892864,0.1834983944879928
0.5,400,4,0.1488095238095238,-0.08966548420373024,0.19039243906841055,-0.06619035249705298,-2.0058023753366316,-0.08288855617103788,-0.08288855617103788,-3.297313577835203,-0.23190699698980524,0.8863213232384519,0.19039243906841055
0.5,1600,0,0.16071428571428573,-0.08764948794390925,0.20356351757860822,-0.06688958328635143,-1.9147862034432637,0.056120940763132454,0.056120940763132454,-2.077133478501597,0.08003447624709464,0.8836288487877341,0.19826235333944478
0.5,1600,1,0.15476190476190477,-0.08810823332238553,0.20353947008260218,-0.05827308105801414,-1.9298279246044678,-0.08006485621337125,-0.09006922599855548,-1.8444911582138164,0.10644316613386252,0.8390895978930751,0.19843025718049198
0.5,1600,2,0.1488095238095238,-0.09391080254417648,0.19005891745935974,-0.07164317048787103,-1.9804624534124358,-0.13979063240395664,-0.13979063240395664,-1.6935552485418608,0.14534978663810483,0.9403733805434599,0.18449674651951076
0.5,1600,3,0.16071428571428573,-0.08055168177895604,0.2225250214920042,-0.05638356272404198,-1.8963603337296113,-0.05229573589794835,-0.07813972515297908,-1.5251375426200098,0.08321878692744616,0.8926134640450895,0.22203618907861014
0.5,1600,4,0.15476190476190477,-0.08635123858128765,0.20717734080921302,-0.0633629647159299,-1.940039267363349,-0.11393415059208566,-0.16545858804158942,-2.252076075077416,0.018817704136226597,0.9545017724029445,0.20717734080921402
0.75,100,0,0.23809523809523808,0.13112413740397957,0.36384287780306046,0.11954836625511185,-1.9425714124041793,0.13735319901931656,0.07885192188965298,-4.323465545545179,0.14267657305033926,0.7109666614012754,0.34226562162353386
0.75,100,1,0.2261904761904762,0.14193875040571333,0.3987106346007335,0.15088016797787554,-1.964863388892461,0.20622080438571436,0.11022952923657452,-4.338583671487633,0.11240214351702604,0.6198022186090996,0.37432246550564535
0.75,100,2,0.2261904761904762,0.14394894106406597,0.381005097225611,0.10574483759588953,-2.028422451676749,0.18894360534783758,0.1742048921749554,-4.470532240896947,0.20078327591018555,0.8729134154542489,0.38100509722560894
0.75,100,3,0.2261904761904762,0.14005306847217835,0.39685473881085515,0.12150676428564047,-1.9817698330064624,0.10049446812461348,0.047028977433925805,-4.331234588528879,0.08516220278470679,0.7671757638251794,0.3957115793721134
0.75,100,4,0.2261904761904762,0.12685120230946662,0.3630493600410601,0.08687327655448986,-2.1805485573983274,0.05542821902487955,0.07106346877810527,-4.780945958519192,0.13508836662139959,0.6982736742456372,0.34848934132518267
0.75,400,0,0.2619047619047619,0.14857671084017926,0.4570906532804123,0.11545060464887145,-1.9413287135508974,0.23754993144732545,0.21936593059203546,-3.8432864399194364,0.12309572786129334,0.780561658907834,0.4570906532804123
0.75,400,1,0.25595238095238093,0.1340014884021532,0.43890311843184615,0.1026354810637975,-2.0100860301241386,0.18323278268666976,0.14319800822385267,-4.00231079381613,0.09489890805049235,0.7088298307023866,0.42568747024540093
0.75,400,2,0.24404761904761904,0.1415866129596049,0.4014711386487369,0.10450943850385311,-1.9408157952291796,0.1966140369119283,0.13731046084764878,-4.2778892892198925,-0.002681704492051681,0.7425292836217232,0.400270926516115
0.75,400,3,0.25,0.1429036583284551,0.43118117979213866,0.11122293999950097,-1.9422740733722255,0.13505598009640832,0.09720238540250191,-4.149976130082343,0.21558421108459302,0.7288406381273838,0.40297261614805646
0.75,400,4,0.25,0.14760008553007192,0.4399833292871187,0.11528534961377353,-1.9032832054437163,0.13458329019509155,0.07399407284140282,-3.8453045374107844,0.2452696253158738,0.724143292171501,0.4089159186147957
0.75,1600,0,0.26785714285714285,0.142212153132095,0.44494054205266353,0.11973250276601792,-1.9453085039397577,0.08452817626964146,0.08452817626964146,-3.0692939083778694,0.1951729959830228,0.9340408179949717,0.44023993895354513
