seed,arm,mask,nv,off_support,v_beh,v_opt
27,vanilla,none,0.5537,0.4216,67.89,80.92
27,vanilla,top3,0.4872,0.0,67.89,80.92
27,structured,none,0.4593,0.6534,67.89,80.92
27,structured,top3,0.5426,0.0,67.89,80.92
27,empirical,none,0.2864,0.6709,67.89,80.92
27,empirical,top3,0.4816,0.0,67.89,80.92
27,oracle,none,0.4091,0.6691,67.89,80.92
27,oracle,top3,0.5014,0.0,67.89,80.92
27,QDT,none,0.5689,0.43,67.89,80.92
27,QDT,top3,0.5222,0.0,67.89,80.92
27,BC,none,0.5274,0.0838,67.89,80.92
27,BC,top3,0.5113,0.0,67.89,80.92
27,random,none,-4.7628,0.7984,67.89,80.92
27,random,top3,-0.3605,0.0,67.89,80.92
28,vanilla,none,0.62,0.4062,65.09,80.92
28,vanilla,top3,0.6291,0.0,65.09,80.92
28,structured,none,0.3058,0.6347,65.09,80.92
28,structured,top3,0.416,0.0,65.09,80.92
28,empirical,none,0.1354,0.6484,65.09,80.92
28,empirical,top3,0.4129,0.0,65.09,80.92
28,oracle,none,0.3637,0.6344,65.09,80.92
28,oracle,top3,0.4365,0.0,65.09,80.92
28,QDT,none,0.742,0.4334,65.09,80.92
28,QDT,top3,0.6842,0.0,65.09,80.92
28,BC,none,0.6179,0.0437,65.09,80.92
28,BC,top3,0.6176,0.0,65.09,80.92
28,random,none,-4.6014,0.7772,65.09,80.92
28,random,top3,-0.9187,0.0,65.09,80.92
29,vanilla,none,0.4941,0.4819,67.71,80.92
29,vanilla,top3,0.4976,0.0,67.71,80.92
29,structured,none,0.0637,0.6534,67.71,80.92
29,structured,top3,0.3264,0.0,67.71,80.92
29,empirical,none,-0.1182,0.6609,67.71,80.92
29,empirical,top3,0.2353,0.0,67.71,80.92
29,oracle,none,0.2114,0.6447,67.71,80.92
29,oracle,top3,0.3813,0.0,67.71,80.92
29,QDT,none,0.6436,0.5069,67.71,80.92
29,QDT,top3,0.5629,0.0,67.71,80.92
29,BC,none,0.5235,0.0,67.71,80.92
29,BC,top3,0.5235,0.0,67.71,80.92
29,random,none,-4.4905,0.7972,67.71,80.92
29,random,top3,-1.2247,0.0,67.71,80.92
