N,noise,seed,v_logger,v_anchor,v_opt,v_low,v_high,nv_logger,nv_low,nv_high
100,0.5,3,451.0849861183745,427.8075954406258,483.28279877863395,457.05858741977653,445.1113848169725,0.41959991630712046,0.5272804824333069,0.31191935018093403
100,0.5,4,440.2995203799072,415.8730447844656,474.31553538531443,446.48182595098035,434.11721480883404,0.41795747142725026,0.5237419016853155,0.312173041169184
100,0.5,5,437.4485011691721,413.08161086848617,472.4205638661845,445.76874266787837,429.12825967046587,0.41063903337881774,0.5508545423890454,0.27042352436859
100,0.5,6,438.0265647709673,413.54102946207837,472.2493846542733,444.72162505621867,431.3315044857159,0.41707070873864643,0.5311100181918511,0.30303139928544176
100,0.5,7,446.8608904930948,422.9552853756405,480.1843549282328,452.70941387747183,441.0123671087178,0.4177178714304548,0.5199128473421697,0.31552289551873997
100,0.5,8,436.6417545167491,414.15142866616,472.41867197590335,445.33152830073277,427.95198073276543,0.38598575414032493,0.5351222721971283,0.2368492360835226
100,0.5,9,445.88846709831614,420.68245839622364,477.90153050673655,450.0726942911104,441.7042399055219,0.44051760667159406,0.5136440492799753,0.36739116406321276
400,0.05,0,446.0928206020325,421.48917105942843,479.2131268458336,452.4888237020104,439.6968175020545,0.42622944334661433,0.5370327140657059,0.3154261726275219
400,0.05,1,446.2080524124391,422.7909092428097,479.07216495487467,452.0315656156991,440.3845392091791,0.41607357322358907,0.5195452020915218,0.31260194435565636
400,0.05,2,440.9359419695373,417.1824539201058,474.5590275047475,447.7922249430951,434.07965899597946,0.4139927947142126,0.5334890027518616,0.2944965866765636
400,0.05,3,446.9472240273612,423.10474053664757,479.3865548020198,452.92925165513924,440.96519639958314,0.42362677539666416,0.5299138186602736,0.3173397321330547
400,0.05,4,451.33054200732545,427.25459431293825,483.248496641775,456.2616362808692,446.39944773378164,0.42997445602193973,0.5180393000220024,0.3419096120218761
400,0.05,5,445.65360680391484,420.5620190232593,478.5366511066638,452.22320588799414,439.0840077198356,0.4328028808282531,0.5461213935637549,0.3194843680927522
400,0.05,6,445.8185888596687,421.9223253169368,478.38659087731315,450.99338873997533,440.643788979362,0.4232103845781895,0.5148577269982074,0.3315630421581706
400,0.05,7,442.9512163363855,418.644374990045,476.3341035189663,449.35378235600257,436.5486503167685,0.4213374194360252,0.5323201919829141,0.31035464688913633
400,0.05,8,447.63192410402894,422.931340639083,479.95114040875427,452.5948883229192,442.66895988513863,0.43319309370995285,0.5202324070526496,0.3461537803672551
400,0.05,9,447.6023399771599,423.45525105741876,479.20761072352025,452.1802081462303,443.02447180808946,0.43311330792735975,0.515224059767947,0.35100255608677244
400,0.2,0,446.0928206020325,421.48917105942843,479.2131268458336,452.4888237020104,439.6968175020545,0.42622944334661433,0.5370327140657059,0.3154261726275219
400,0.2,1,446.2080524124391,422.7909092428097,479.07216495487467,452.0315656156991,440.3845392091791,0.41607357322358907,0.5195452020915218,0.31260194435565636
400,0.2,2,440.9359419695373,417.1824539201058,474.5590275047475,447.7922249430951,434.07965899597946,0.4139927947142126,0.5334890027518616,0.2944965866765636
400,0.2,3,446.9472240273612,423.10474053664757,479.3865548020198,452.92925165513924,440.96519639958314,0.42362677539666416,0.5299138186602736,0.3173397321330547
400,0.2,4,451.33054200732545,427.25459431293825,483.248496641775,456.2616362808692,446.39944773378164,0.42997445602193973,0.5180393000220024,0.3419096120218761
400,0.2,5,445.65360680391484,420.5620190232593,478.5366511066638,452.22320588799414,439.0840077198356,0.4328028808282531,0.5461213935637549,0.3194843680927522
400,0.2,6,445.8185888596687,421.9223253169368,478.38659087731315,450.99338873997533,440.643788979362,0.4232103845781895,0.5148577269982074,0.3315630421581706
400,0.2,7,442.9512163363855,418.644374990045,476.3341035189663,449.35378235600257,436.5486503167685,0.4213374194360252,0.5323201919829141,0.31035464688913633
