policy,qhat,clip,estimator,value,ci95_low,ci95_high,n_train_episodes,n_test_episodes,target_q95,step_ess,step_ess_frac,terminal_ess,terminal_ess_frac,max_step_weight,p95_step_weight,mean_pb_at_target_argmax,target_argmax_pb_lt_0.01,mean_target_prob_on_logged_action
iql_support_top3,weak_action_only,30.0,DM,0.21481705181278624,0.20945753847056262,0.22077175513600159,1680,541,,1203.979787185996,0.27818386949768853,119.21202206244193,0.2203549391172679,30.0,27.16724022928847,0.2837744846734599,0.020794824399260628,0.37558520039027254
iql_support_top3,weak_action_only,30.0,IPS,1.48558330771926,1.2758781496575435,1.705097572660466,1680,541,,1203.979787185996,0.27818386949768853,119.21202206244193,0.2203549391172679,30.0,27.16724022928847,0.2837744846734599,0.020794824399260628,0.37558520039027254
iql_support_top3,weak_action_only,30.0,SNIPS,0.3174571208204428,0.2863664278302394,0.3501310181789784,1680,541,,1203.979787185996,0.27818386949768853,119.21202206244193,0.2203549391172679,30.0,27.16724022928847,0.2837744846734599,0.020794824399260628,0.37558520039027254
iql_support_top3,weak_action_only,30.0,DR,0.5607426516357215,0.3688417985515902,0.7688990587791739,1680,541,,1203.979787185996,0.27818386949768853,119.21202206244193,0.2203549391172679,30.0,27.16724022928847,0.2837744846734599,0.020794824399260628,0.37558520039027254
vanilla_dt_support_top3,weak_action_only,1.0,DM,0.21481705181278624,0.2084551238487953,0.2208684861599111,1680,541,,1843.8905131834595,0.4260375492568067,82.2479096441232,0.1520294078449597,1.0,1.0,0.2371430854005071,0.0025415896487985213,0.3346844242547199
vanilla_dt_support_top3,weak_action_only,1.0,IPS,0.11907218056132032,0.10864849623765487,0.13213838727689692,1680,541,,1843.8905131834595,0.4260375492568067,82.2479096441232,0.1520294078449597,1.0,1.0,0.2371430854005071,0.0025415896487985213,0.3346844242547199
vanilla_dt_support_top3,weak_action_only,1.0,SNIPS,0.2993912594373451,0.27664016150568177,0.3241862555397632,1680,541,,1843.8905131834595,0.4260375492568067,82.2479096441232,0.1520294078449597,1.0,1.0,0.2371430854005071,0.0025415896487985213,0.3346844242547199
vanilla_dt_support_top3,weak_action_only,1.0,DR,0.31940467511765785,0.30895222703060204,0.3302610343166367,1680,541,,1843.8905131834595,0.4260375492568067,82.2479096441232,0.1520294078449597,1.0,1.0,0.2371430854005071,0.0025415896487985213,0.3346844242547199
vanilla_dt_support_top3,weak_action_only,3.0,DM,0.21481705181278624,0.20830124122999827,0.22120208372911457,1680,541,,1825.6388339246976,0.4218204329770558,81.71697478913386,0.15104801254923078,3.0,3.0,0.2371430854005071,0.0025415896487985213,0.3346844242547199
vanilla_dt_support_top3,weak_action_only,3.0,IPS,0.35195837033868443,0.31703767057434834,0.39168410529893843,1680,541,,1825.6388339246976,0.4218204329770558,81.71697478913386,0.15104801254923078,3.0,3.0,0.2371430854005071,0.0025415896487985213,0.3346844242547199
vanilla_dt_support_top3,weak_action_only,3.0,SNIPS,0.3045937874109475,0.27963640094945225,0.33070715839561693,1680,541,,1825.6388339246976,0.4218204329770558,81.71697478913386,0.15104801254923078,3.0,3.0,0.2371430854005071,0.0025415896487985213,0.3346844242547199
vanilla_dt_support_top3,weak_action_only,3.0,DR,0.5114714383365918,0.4776004007385565,0.5464672780911237,1680,541,,1825.6388339246976,0.4218204329770558,81.71697478913386,0.15104801254923078,3.0,3.0,0.2371430854005071,0.0025415896487985213,0.3346844242547199
vanilla_dt_support_top3,weak_action_only,10.0,DM,0.21481705181278624,0.20932578620774692,0.221050614629368,1680,541,,1454.1217426404567,0.33598006992616836,71.41199339664665,0.13199998779417127,10.0,10.0,0.2371430854005071,0.0025415896487985213,0.3346844242547199
vanilla_dt_support_top3,weak_action_only,10.0,IPS,0.8385772162988884,0.7390961279875408,0.9501325755239756,1680,541,,1454.1217426404567,0.33598006992616836,71.41199339664665,0.13199998779417127,10.0,10.0,0.2371430854005071,0.0025415896487985213,0.3346844242547199
vanilla_dt_support_top3,weak_action_only,10.0,SNIPS,0.3369671354448586,0.30834700817392197,0.3704239070329823,1680,541,,1454.1217426404567,0.33598006992616836,71.41199339664665,0.13199998779417127,10.0,10.0,0.2371430854005071,0.0025415896487985213,0.3346844242547199
vanilla_dt_support_top3,weak_action_only,10.0,DR,0.7355683533530704,0.6447253548709843,0.82509682940223,1680,541,,1454.1217426404567,0.33598006992616836,71.41199339664665,0.13199998779417127,10.0,10.0,0.2371430854005071,0.0025415896487985213,0.3346844242547199
vanilla_dt_support_top3,weak_action_only,30.0,DM,0.21481705181278624,0.208637012846837,0.22127160784534053,1680,541,,964.4257614196849,0.22283404838717305,58.77869646432689,0.10864823745716616,30.0,22.63564188974209,0.2371430854005071,0.0025415896487985213,0.3346844242547199
vanilla_dt_support_top3,weak_action_only,30.0,IPS,1.3705767680219796,1.174001191627463,1.6138361674650514,1680,541,,964.4257614196849,0.22283404838717305,58.77869646432689,0.10864823745716616,30.0,22.63564188974209,0.2371430854005071,0.0025415896487985213,0.3346844242547199
vanilla_dt_support_top3,weak_action_only,30.0,SNIPS,0.36017896872151756,0.32399161168564566,0.3956191618049791,1680,541,,964.4257614196849,0.22283404838717305,58.77869646432689,0.10864823745716616,30.0,22.63564188974209,0.2371430854005071,0.0025415896487985213,0.3346844242547199
