dataset,seed,arm,mask,ret_mean,ret_sd,off_bare_top3,off_bare_bcq_tau,size_top3,size_tau
expert,1,Q-DT,bare,0.4364100000000001,0.3788484418603302,0.0,0.19979490685352932,3.0,1.2355152965305076
expert,1,Q-DT,top3,0.4364100000000001,0.3788484418603302,0.0,0.19979490685352932,3.0,1.2355152965305076
expert,1,Q-DT,bcq_tau,0.44367000000000006,0.39759185240645967,0.0,0.19979490685352932,3.0,1.275230956946139
expert,1,random (no learner),bare,0.025599999999999998,0.1311410690821148,0.572438524590164,0.8153688524590164,3.0,1.2993852459016393
expert,1,random (no learner),top3,0.05795999999999999,0.20517757772232326,0.572438524590164,0.8153688524590164,3.0,1.2916666666666667
expert,1,random (no learner),bcq_tau,0.47296999999999995,0.3894322137420067,0.572438524590164,0.8153688524590164,3.0,1.290653008962868
expert,2,BC,bare,0.26833999999999997,0.39702899692591714,0.0,0.0,3.0,1.5012205044751832
expert,2,BC,top3,0.26833999999999997,0.39702899692591714,0.0,0.0,3.0,1.5012205044751832
expert,2,BC,bcq_tau,0.26833999999999997,0.39702899692591714,0.0,0.0,3.0,1.5012205044751832
expert,2,CQL,bare,0.3611099999999999,0.39505166484904225,0.0,0.03174359760772887,3.0,1.3654347492715841
expert,2,CQL,top3,0.3611099999999999,0.39505166484904225,0.0,0.03174359760772887,3.0,1.3654347492715841
expert,2,CQL,bcq_tau,0.34055,0.3997531832268506,0.0,0.03174359760772887,3.0,1.3637583892617449
expert,2,IQL,bare,0.27419999999999994,0.3999402455367551,0.0,0.05573770491803279,3.0,1.6103825136612022
expert,2,IQL,top3,0.27419999999999994,0.3999402455367551,0.0,0.05573770491803279,3.0,1.6103825136612022
expert,2,IQL,bcq_tau,0.28042,0.3982042485961193,0.0,0.05573770491803279,3.0,1.5990085375929497
expert,2,DT,bare,0.4547899999999999,0.3765352917058373,0.0,0.18892220850238137,3.0,1.2536602575410125
expert,2,DT,top3,0.4547899999999999,0.3765352917058373,0.0,0.18892220850238137,3.0,1.2536602575410125
expert,2,DT,bcq_tau,0.35544,0.3949418012821636,0.0,0.18892220850238137,3.0,1.2784021871202915
expert,2,Q-DT,bare,0.40244,0.3761567843333415,0.0,0.1872574385510996,3.0,1.263098318240621
expert,2,Q-DT,top3,0.40244,0.3761567843333415,0.0,0.1872574385510996,3.0,1.263098318240621
expert,2,Q-DT,bcq_tau,0.3526499999999999,0.3990967645822251,0.0,0.1872574385510996,3.0,1.2869236583522299
expert,2,random (no learner),bare,0.029109999999999997,0.14811677116383543,0.5678428145252546,0.8133936837773892,3.0,1.3343277440592531
expert,2,random (no learner),top3,0.03606,0.16237363209585481,0.5678428145252546,0.8133936837773892,3.0,1.3548520587626733
expert,2,random (no learner),bcq_tau,0.33706,0.39573513414909217,0.5678428145252546,0.8133936837773892,3.0,1.330771504581732
random,0,BC,bare,0.0,0.0,0.0,0.0,3.0,7.0
random,0,BC,top3,0.0,0.0,0.0,0.0,3.0,7.0
random,0,BC,bcq_tau,0.0,0.0,0.0,0.0,3.0,7.0
random,0,CQL,bare,0.0,0.0,0.3026,0.0,3.0,7.0
random,0,CQL,top3,0.0,0.0,0.3026,0.0,3.0,7.0
random,0,CQL,bcq_tau,0.0,0.0,0.3026,0.0,3.0,7.0
