cell_id,N,noise,seed,info_mode,provider,model,method,support_mask,value,v_behaviour_myopic,v_optimal,nv,regret,valid_output_rate,off_support_rate,unlogged_action_rate,off_support_rate_statetable,match_optimal_rate,match_myopic_rate,mean_ranking_len,modal_action_share,distinct_actions_used,action_entropy_normalised
N100_noise0.5,100,0.5,3,oracle_info,heuristic,,DP oracle,none,483.28279877863395,427.8075954406258,483.28279877863395,1.0,0.0,1.0,0.02625,0.02625,0.5773809523809523,1.0,0.32142857142857145,1.0,0.31547619047619047,9,0.7692429845830043
N100_noise0.5,100,0.5,3,oracle_info,heuristic,,DP oracle + support top3,top3,475.482614601531,427.8075954406258,483.28279877863395,0.8593933197580774,7.800184177102949,1.0,0.0,0.0,0.0,0.4226190476190476,0.36904761904761907,1.0,0.4166666666666667,8,0.7290964424455045
N100_noise0.5,100,0.5,3,oracle_info,heuristic,,Heuristic proxy (not LLM),none,432.4515207931825,427.8075954406258,483.28279877863395,0.08371173196538773,50.831277985451436,1.0,0.09,0.09,0.5238095238095238,0.34523809523809523,0.9107142857142857,11.0,0.23214285714285715,6,0.6776289834272279
N100_noise0.5,100,0.5,3,oracle_info,heuristic,,Heuristic proxy (not LLM) + support top3,top3,435.2002305286325,427.8075954406258,483.28279877863395,0.1332601710887602,48.08256825000143,1.0,0.0,0.0,0.0,0.27380952380952384,0.5178571428571429,11.0,0.4166666666666667,7,0.6901838942502788
N100_noise0.5,100,0.5,3,oracle_info,heuristic,,Myopic one-step optimizer,none,427.8075954406258,427.8075954406258,483.28279877863395,0.0,55.47520333800816,1.0,0.03125,0.03125,0.4583333333333333,0.32142857142857145,1.0,1.0,0.23809523809523808,6,0.7140470791885996
N100_noise0.5,100,0.5,3,oracle_info,heuristic,,Myopic one-step optimizer + support top3,top3,432.35538117912586,427.8075954406258,483.28279877863395,0.08197871237696226,50.92741759950809,1.0,0.0,0.0,0.0,0.25,0.5416666666666666,1.0,0.4166666666666667,7,0.6860943472249095
N100_noise0.5,100,0.5,3,oracle_info,heuristic,,Random policy,none,323.05685475634607,427.8075954406258,483.28279877863395,-1.8882443755282468,160.22594402228788,1.0,0.8225,0.925,0.8928571428571429,0.08333333333333333,0.08333333333333333,11.0,0.13095238095238096,11,0.9791818179139785
N100_noise0.5,100,0.5,3,oracle_info,heuristic,,Random policy + support top3,top3,437.2251144734289,427.8075954406258,483.28279877863395,0.16976087451942362,46.05768430520504,1.0,0.0,0.0,0.0,0.31547619047619047,0.47619047619047616,11.0,0.4166666666666667,8,0.7172643411234232
N100_noise0.5,100,0.5,4,log_only,heuristic,,DP oracle,none,474.31553538531443,415.8730447844656,474.31553538531443,1.0,0.0,1.0,0.00875,0.00875,0.5654761904761905,1.0,0.32142857142857145,1.0,0.31547619047619047,9,0.7692429845830043
N100_noise0.5,100,0.5,4,log_only,heuristic,,DP oracle + support top3,top3,473.5777071672662,415.8730447844656,474.31553538531443,0.987375140750119,0.7378282180482074,1.0,0.0,0.0,0.0,0.43452380952380953,0.30952380952380953,1.0,0.4583333333333333,8,0.6993102440270764
N100_noise0.5,100,0.5,4,log_only,heuristic,,Heuristic proxy (not LLM),none,423.8032216303043,415.8730447844656,474.31553538531443,0.13569197281478443,50.512313755010155,1.0,0.0,0.0,0.3333333333333333,0.39285714285714285,0.42857142857142855,11.0,0.375,8,0.7437701890093878
N100_noise0.5,100,0.5,4,log_only,heuristic,,Heuristic proxy (not LLM) + support top3,top3,423.8032216303043,415.8730447844656,474.31553538531443,0.13569197281478443,50.512313755010155,1.0,0.0,0.0,0.0,0.31547619047619047,0.42857142857142855,11.0,0.4642857142857143,8,0.6831410324992386
N100_noise0.5,100,0.5,4,log_only,heuristic,,Myopic one-step optimizer,none,415.8730447844656,415.8730447844656,474.31553538531443,0.0,58.44249060084883,1.0,0.16125,0.16125,0.49404761904761907,0.32142857142857145,1.0,1.0,0.23809523809523808,6,0.7140470791885996
N100_noise0.5,100,0.5,4,log_only,heuristic,,Myopic one-step optimizer + support top3,top3,419.67262683780825,415.8730447844656,474.31553538531443,0.06501403369841088,54.64290854750618,1.0,0.0,0.0,0.0,0.23809523809523808,0.5059523809523809,1.0,0.4642857142857143,7,0.6618770181538621
N100_noise0.5,100,0.5,4,log_only,heuristic,,Random policy,none,272.50257282758025,415.8730447844656,474.31553538531443,-2.453188946653191,201.81296255773418,1.0,0.94,0.94,0.8630952380952381,0.10119047619047619,0.03571428571428571,11.0,0.11904761904761904,11,0.9917786371650364
N100_noise0.5,100,0.5,4,log_only,heuristic,,Random policy + support top3,top3,450.0684441863099,415.8730447844656,474.31553538531443,0.5851119459537135,24.247091199004558,1.0,0.0,0.0,0.0,0.34523809523809523,0.39880952380952384,11.0,0.4583333333333333,8,0.6956746873010143
N100_noise0.5,100,0.5,4,oracle_info,heuristic,,DP oracle,none,474.31553538531443,415.8730447844656,474.31553538531443,1.0,0.0,1.0,0.00875,0.00875,0.5654761904761905,1.0,0.32142857142857145,1.0,0.31547619047619047,9,0.7692429845830043
N100_noise0.5,100,0.5,4,oracle_info,heuristic,,DP oracle + support top3,top3,473.5777071672662,415.8730447844656,474.31553538531443,0.987375140750119,0.7378282180482074,1.0,0.0,0.0,0.0,0.43452380952380953,0.30952380952380953,1.0,0.4583333333333333,8,0.6993102440270764
N100_noise0.5,100,0.5,4,oracle_info,heuristic,,Heuristic proxy (not LLM),none,420.10867298418304,415.8730447844656,474.31553538531443,0.07247514875171868,54.20686240113139,1.0,0.23625,0.23625,0.5535714285714286,0.34523809523809523,0.9107142857142857,11.0,0.23214285714285715,6,0.6776289834272279
N100_noise0.5,100,0.5,4,oracle_info,heuristic,,Heuristic proxy (not LLM) + support top3,top3,421.486624774665,415.8730447844656,474.31553538531443,0.09605305887011392,52.828910610649416,1.0,0.0,0.0,0.0,0.25,0.49404761904761907,11.0,0.4642857142857143,7,0.6644920916453335
N100_noise0.5,100,0.5,4,oracle_info,heuristic,,Myopic one-step optimizer,none,415.8730447844656,415.8730447844656,474.31553538531443,0.0,58.44249060084883,1.0,0.16125,0.16125,0.49404761904761907,0.32142857142857145,1.0,1.0,0.23809523809523808,6,0.7140470791885996
N100_noise0.5,100,0.5,4,oracle_info,heuristic,,Myopic one-step optimizer + support top3,top3,419.67262683780825,415.8730447844656,474.31553538531443,0.06501403369841088,54.64290854750618,1.0,0.0,0.0,0.0,0.23809523809523808,0.5059523809523809,1.0,0.4642857142857143,7,0.6618770181538621
N100_noise0.5,100,0.5,4,oracle_info,heuristic,,Random policy,none,272.50257282758025,415.8730447844656,474.31553538531443,-2.453188946653191,201.81296255773418,1.0,0.94,0.94,0.8630952380952381,0.10119047619047619,0.03571428571428571,11.0,0.11904761904761904,11,0.9917786371650364
N100_noise0.5,100,0.5,4,oracle_info,heuristic,,Random policy + support top3,top3,450.0684441863099,415.8730447844656,474.31553538531443,0.5851119459537135,24.247091199004558,1.0,0.0,0.0,0.0,0.34523809523809523,0.39880952380952384,11.0,0.4583333333333333,8,0.6956746873010143
N100_noise0.5,100,0.5,5,log_only,heuristic,,DP oracle,none,472.4205638661845,413.08161086848617,472.4205638661845,1.0,0.0,1.0,0.085,0.085,0.6011904761904762,1.0,0.32142857142857145,1.0,0.31547619047619047,9,0.7692429845830043
N100_noise0.5,100,0.5,5,log_only,heuristic,,DP oracle + support top3,top3,467.4593266034662,413.08161086848617,472.4205638661845,0.9163915604828625,4.961237262718328,1.0,0.0,0.0,0.0,0.39880952380952384,0.36904761904761907,1.0,0.43452380952380953,8,0.7153804402410808
N100_noise0.5,100,0.5,5,log_only,heuristic,,Heuristic proxy (not LLM),none,423.85764701073623,413.08161086848617,472.4205638661845,0.18160138657431393,48.56291685544829,1.0,0.0,0.0,0.31547619047619047,0.3392857142857143,0.49404761904761907,11.0,0.3392857142857143,8,0.7522073172544033
N100_noise0.5,100,0.5,5,log_only,heuristic,,Heuristic proxy (not LLM) + support top3,top3,423.85764701073623,413.08161086848617,472.4205638661845,0.18160138657431393,48.56291685544829,1.0,0.0,0.0,0.0,0.27380952380952384,0.49404761904761907,11.0,0.44047619047619047,8,0.6785884380646687
N100_noise0.5,100,0.5,5,log_only,heuristic,,Myopic one-step optimizer,none,413.08161086848617,413.08161086848617,472.4205638661845,0.0,59.33895299769836,1.0,0.0975,0.0975,0.4523809523809524,0.32142857142857145,1.0,1.0,0.23809523809523808,6,0.7140470791885996
N100_noise0.5,100,0.5,5,log_only,heuristic,,Myopic one-step optimizer + support top3,top3,416.38873761420723,413.08161086848617,472.4205638661845,0.05573281257337555,56.03182625197729,1.0,0.0,0.0,0.0,0.22023809523809523,0.5476190476190477,1.0,0.44047619047619047,7,0.6583965069675556
N100_noise0.5,100,0.5,5,log_only,heuristic,,Random policy,none,272.5254544563501,413.08161086848617,472.4205638661845,-2.368699636772964,199.89510940983445,1.0,0.8875,0.91875,0.8869047619047619,0.1130952380952381,0.13095238095238096,11.0,0.13690476190476192,11,0.9862660892419334
N100_noise0.5,100,0.5,5,log_only,heuristic,,Random policy + support top3,top3,434.77558457848426,413.08161086848617,472.4205638661845,0.36559414371263943,37.64497928770027,1.0,0.0,0.0,0.0,0.2976190476190476,0.47023809523809523,11.0,0.44047619047619047,8,0.6933119259693575
N100_noise0.5,100,0.5,5,oracle_info,heuristic,,DP oracle,none,472.4205638661845,413.08161086848617,472.4205638661845,1.0,0.0,1.0,0.085,0.085,0.6011904761904762,1.0,0.32142857142857145,1.0,0.31547619047619047,9,0.7692429845830043
N100_noise0.5,100,0.5,5,oracle_info,heuristic,,DP oracle + support top3,top3,467.4593266034662,413.08161086848617,472.4205638661845,0.9163915604828625,4.961237262718328,1.0,0.0,0.0,0.0,0.39880952380952384,0.36904761904761907,1.0,0.43452380952380953,8,0.7153804402410808
N100_noise0.5,100,0.5,5,oracle_info,heuristic,,Heuristic proxy (not LLM),none,418.1954290854733,413.08161086848617,472.4205638661845,0.08617978509303101,54.225134780711244,1.0,0.14875,0.14875,0.5178571428571429,0.34523809523809523,0.9107142857142857,11.0,0.23214285714285715,6,0.6776289834272279
N100_noise0.5,100,0.5,5,oracle_info,heuristic,,Heuristic proxy (not LLM) + support top3,top3,419.34528583422093,413.08161086848617,472.4205638661845,0.10555755788238665,53.07527803196359,1.0,0.0,0.0,0.0,0.24404761904761904,0.5238095238095238,11.0,0.44047619047619047,7,0.6646963730282358
N100_noise0.5,100,0.5,5,oracle_info,heuristic,,Myopic one-step optimizer,none,413.08161086848617,413.08161086848617,472.4205638661845,0.0,59.33895299769836,1.0,0.0975,0.0975,0.4523809523809524,0.32142857142857145,1.0,1.0,0.23809523809523808,6,0.7140470791885996
N100_noise0.5,100,0.5,5,oracle_info,heuristic,,Myopic one-step optimizer + support top3,top3,416.38873761420723,413.08161086848617,472.4205638661845,0.05573281257337555,56.03182625197729,1.0,0.0,0.0,0.0,0.22023809523809523,0.5476190476190477,1.0,0.44047619047619047,7,0.6583965069675556
N100_noise0.5,100,0.5,5,oracle_info,heuristic,,Random policy,none,272.5254544563501,413.08161086848617,472.4205638661845,-2.368699636772964,199.89510940983445,1.0,0.8875,0.91875,0.8869047619047619,0.1130952380952381,0.13095238095238096,11.0,0.13690476190476192,11,0.9862660892419334
N100_noise0.5,100,0.5,5,oracle_info,heuristic,,Random policy + support top3,top3,434.77558457848426,413.08161086848617,472.4205638661845,0.36559414371263943,37.64497928770027,1.0,0.0,0.0,0.0,0.2976190476190476,0.47023809523809523,11.0,0.44047619047619047,8,0.6933119259693575
N100_noise0.5,100,0.5,6,log_only,heuristic,,DP oracle,none,472.2493846542733,413.54102946207837,472.2493846542733,1.0,0.0,1.0,0.00625,0.00625,0.5535714285714286,1.0,0.32142857142857145,1.0,0.31547619047619047,9,0.7692429845830043
N100_noise0.5,100,0.5,6,log_only,heuristic,,DP oracle + support top3,top3,471.6565594743866,413.54102946207837,472.2493846542733,0.989902200837582,0.5928251798866881,1.0,0.0,0.0,0.0,0.44642857142857145,0.32142857142857145,1.0,0.43452380952380953,8,0.7121565135313408
N100_noise0.5,100,0.5,6,log_only,heuristic,,Heuristic proxy (not LLM),none,426.28263424545895,413.54102946207837,472.2493846542733,0.21703222210310766,45.966750408814335,1.0,0.0,0.0,0.30952380952380953,0.375,0.4642857142857143,11.0,0.34523809523809523,8,0.7525993064415981
N100_noise0.5,100,0.5,6,log_only,heuristic,,Heuristic proxy (not LLM) + support top3,top3,426.28263424545895,413.54102946207837,472.2493846542733,0.21703222210310766,45.966750408814335,1.0,0.0,0.0,0.0,0.30357142857142855,0.4642857142857143,11.0,0.44047619047619047,8,0.6886971721434038
N100_noise0.5,100,0.5,6,log_only,heuristic,,Myopic one-step optimizer,none,413.54102946207837,413.54102946207837,472.2493846542733,0.0,58.708355192194915,1.0,0.2,0.2,0.48214285714285715,0.32142857142857145,1.0,1.0,0.23809523809523808,6,0.7140470791885996
N100_noise0.5,100,0.5,6,log_only,heuristic,,Myopic one-step optimizer + support top3,top3,419.7852395099463,413.54102946207837,472.2493846542733,0.10635981926978014,52.464145144327006,1.0,0.0,0.0,0.0,0.25,0.5178571428571429,1.0,0.44047619047619047,7,0.6694671887345545
N100_noise0.5,100,0.5,6,log_only,heuristic,,Random policy,none,325.1965727863249,413.54102946207837,472.2493846542733,-1.5048021084313834,147.05281186794838,1.0,0.87875,0.90875,0.8809523809523809,0.10714285714285714,0.11904761904761904,11.0,0.13690476190476192,11,0.9812964258032277
N100_noise0.5,100,0.5,6,log_only,heuristic,,Random policy + support top3,top3,452.13796044354973,413.54102946207837,472.2493846542733,0.6574350593729918,20.111424210723555,1.0,0.0,0.0,0.0,0.39285714285714285,0.375,11.0,0.44047619047619047,7,0.7005660027658057
N100_noise0.5,100,0.5,6,oracle_info,heuristic,,DP oracle,none,472.2493846542733,413.54102946207837,472.2493846542733,1.0,0.0,1.0,0.00625,0.00625,0.5535714285714286,1.0,0.32142857142857145,1.0,0.31547619047619047,9,0.7692429845830043
N100_noise0.5,100,0.5,6,oracle_info,heuristic,,DP oracle + support top3,top3,471.6565594743866,413.54102946207837,472.2493846542733,0.989902200837582,0.5928251798866881,1.0,0.0,0.0,0.0,0.44642857142857145,0.32142857142857145,1.0,0.43452380952380953,8,0.7121565135313408
N100_noise0.5,100,0.5,6,oracle_info,heuristic,,Heuristic proxy (not LLM),none,419.01085567892466,413.54102946207837,472.2493846542733,0.0931694679392667,53.23852897534863,1.0,0.285,0.285,0.5297619047619048,0.34523809523809523,0.9107142857142857,11.0,0.23214285714285715,6,0.6776289834272279
