cell_id,N,noise,method,family,n_runs,mean_nv,std_nv,median_nv,mean_value,mean_unseen_rate,mean_behavior_prob
N1600_noise0p2,1600,0.2,Behaviour cloning,BC,10,0.4033208581878995,0.09594200916995164,0.3799412995111458,444.23546939395203,0.018890625,0.8273755086970555
N1600_noise0p2,1600,0.2,Behaviour cloning support top3,BC,10,0.3670212715008797,0.10596344612787822,0.37447660970553354,442.1644594991805,0.0,0.8484782130588728
N1600_noise0p2,1600,0.2,Estimate-then-optimise unconstrained empirical-transition,EtO,10,-0.16840543535848976,0.01131163606156282,-0.17149327742425963,411.70056042964336,0.61346875,0.27750792006030867
N1600_noise0p2,1600,0.2,Estimate-then-optimise structured learned-transition,EtO,10,-2.1706582720074588,0.6288300405130584,-1.9383081261489439,297.6392421777896,0.908515625,0.042284935064180316
N1600_noise0p2,1600,0.2,Estimate-then-optimise structured,EtO,10,-2.1834023723491116,0.5336352321526306,-2.0589471856810366,296.93705234401307,0.9143515624999999,0.040710404236800266
N1600_noise0p2,1600,0.2,Estimate-then-optimise structured empirical-transition,EtO,10,-2.300844642082979,0.339666892288755,-2.265912744586156,290.27876408292855,0.8735781250000001,0.0758614692699727
N1600_noise0p5,1600,0.5,Estimate-then-optimise unconstrained empirical-transition support top3,EtO,10,0.9924647342271763,0.0008590724197958225,0.9925182242490838,477.7777290791226,0.0,0.766526419773477
N1600_noise0p5,1600,0.5,Estimate-then-optimise unconstrained support top3,EtO,10,0.9893454074844863,0.006111081014071664,0.9918128063173952,477.6007660017978,0.0,0.7628713083615561
N1600_noise0p5,1600,0.5,Estimate-then-optimise unconstrained learned-transition support top3,EtO,10,0.8632471943497417,0.0673171612675883,0.8691477151053076,470.41876415245144,0.0,0.7327091381429011
N1600_noise0p5,1600,0.5,Estimate-then-optimise structured empirical-transition support top3,EtO,10,0.7524295873094791,0.12267728599899103,0.7446515087420698,464.1331137419621,0.0,0.6188371503790722
N1600_noise0p5,1600,0.5,Estimate-then-optimise unconstrained,EtO,10,0.7440752437678333,0.3866070410038661,0.9360723509189941,463.72821002820837,0.315125,0.5544366095477998
N1600_noise0p5,1600,0.5,Estimate-then-optimise structured support top3,EtO,10,0.6070372672745826,0.05231303575660394,0.6048015240357283,455.8399222377466,0.0,0.6312076076347937
N1600_noise0p5,1600,0.5,Estimate-then-optimise unconstrained learned-transition,EtO,10,0.5515813629561623,0.4826571018428805,0.7717178232488288,452.7750942611113,0.43099999999999994,0.48684121011309234
N1600_noise0p5,1600,0.5,Estimate-then-optimise structured learned-transition support top3,EtO,10,0.46076626517702096,0.008090286236529848,0.4590029945294209,447.5139016397952,0.0,0.6820480347786329
N1600_noise0p5,1600,0.5,Behaviour cloning,BC,10,0.4033208581878995,0.09594200916995164,0.3799412995111458,444.23546939395203,0.018890625,0.8273755086970555
N1600_noise0p5,1600,0.5,Behaviour cloning support top3,BC,10,0.3670212715008797,0.10596344612787822,0.37447660970553354,442.1644594991805,0.0,0.8484782130588728
N1600_noise0p5,1600,0.5,Estimate-then-optimise unconstrained empirical-transition,EtO,10,-0.16900075813714993,0.02763862134575539,-0.17367168544118472,411.6681711588738,0.6526171875,0.23755697491190078
N1600_noise0p5,1600,0.5,Estimate-then-optimise structured,EtO,10,-2.539493971454181,0.3559572987885051,-2.4883313138039043,276.6819723403199,0.8854296875,0.06104120246810017
N1600_noise0p5,1600,0.5,Estimate-then-optimise structured learned-transition,EtO,10,-2.6322241070870755,0.3948823294502388,-2.5067674219003866,271.38958856181347,0.8948359375000001,0.04861944019080251
N1600_noise0p5,1600,0.5,Estimate-then-optimise structured empirical-transition,EtO,10,-2.742214569313945,0.20415866510296238,-2.747148055606522,265.1575352049945,0.8811640624999999,0.06797159728286147
N400_noise0p05,400,0.05,Estimate-then-optimise unconstrained empirical-transition support top3,EtO,10,0.9867935142851725,0.010004539682659063,0.9915607694272526,478.03568899966723,0.0,0.7694490142958355
N400_noise0p05,400,0.05,Estimate-then-optimise unconstrained support top3,EtO,10,0.9792811780600473,0.018606619248993962,0.9898999161751181,477.61064446089574,0.0,0.762895782215889
N400_noise0p05,400,0.05,Estimate-then-optimise unconstrained learned-transition support top3,EtO,10,0.8693048949174462,0.03671831665786764,0.8640707572356074,471.34255123374595,0.0,0.7185186875181768
N400_noise0p05,400,0.05,Estimate-then-optimise structured empirical-transition support top3,EtO,10,0.8597356049848148,0.07114860458218358,0.8392147091280324,470.79478951985664,0.0,0.7160091823109954
N400_noise0p05,400,0.05,Estimate-then-optimise structured support top3,EtO,10,0.8445134161472888,0.12673043491198835,0.8683138396951797,469.9973163917687,0.0,0.7007773812553136
N400_noise0p05,400,0.05,Estimate-then-optimise unconstrained,EtO,10,0.7101426331913598,0.07876549425521409,0.7407684044973084,462.330428373309,0.6149375,0.3328937484484932
N400_noise0p05,400,0.05,Estimate-then-optimise unconstrained learned-transition,EtO,10,0.6626092984977312,0.14238860753704188,0.7357739087792806,459.62802188752437,0.48600000000000004,0.43724947285724725
N400_noise0p05,400,0.05,Estimate-then-optimise structured learned-transition support top3,EtO,10,0.49550499748988586,0.05489918755161187,0.4887145580228515,450.1258483688074,0.0,0.7568133614562067
N400_noise0p05,400,0.05,Behaviour cloning,BC,10,0.36217046294308763,0.1380263976001865,0.3347977812514995,442.5065810901339,0.048625,0.8070266007397386
N400_noise0p05,400,0.05,Behaviour cloning support top3,BC,10,0.3105479419389777,0.1352965218950511,0.2957240615262522,439.55905939521944,0.0,0.8561875147772107
N400_noise0p05,400,0.05,Estimate-then-optimise unconstrained empirical-transition,EtO,10,-0.1768111539804685,0.027420726031593495,-0.18179940108562834,411.8958876313627,0.6604375,0.23764632682089598
N400_noise0p05,400,0.05,Estimate-then-optimise structured empirical-transition,EtO,10,-3.131884825101721,0.13022378423777634,-3.1765050906938885,243.8850534875093,0.84771875,0.11156080019261472
N400_noise0p05,400,0.05,Estimate-then-optimise structured,EtO,10,-3.8926135490402403,0.5413711355376879,-4.060951882906956,200.49771347103248,0.86575,0.14180458354518746
N400_noise0p05,400,0.05,Estimate-then-optimise structured learned-transition,EtO,10,-4.082283653792487,0.5090384027789139,-4.196044331448185,189.70739764017748,0.8876250000000001,0.12072287741747159
N400_noise0p2,400,0.2,Estimate-then-optimise unconstrained empirical-transition support top3,EtO,10,0.9868546707006127,0.010038636920743941,0.9917225975326851,478.0391954140114,0.0,0.7686603240018605
N400_noise0p2,400,0.2,Estimate-then-optimise unconstrained support top3,EtO,10,0.9739400674304125,0.022400452829390332,0.9829200310900408,477.30525975352214,0.0,0.7570666613343564
N400_noise0p2,400,0.2,Estimate-then-optimise unconstrained learned-transition support top3,EtO,10,0.8967820170173159,0.05593268124705053,0.9041065522765936,472.9100468656623,0.0,0.7283358711539611
N400_noise0p2,400,0.2,Estimate-then-optimise structured support top3,EtO,10,0.8849729710135664,0.09516771664569212,0.9138130373833189,472.2711470430298,0.0,0.7195363487289536
N400_noise0p2,400,0.2,Estimate-then-optimise structured empirical-transition support top3,EtO,10,0.8337735392614359,0.08262952673896436,0.8140848206994614,469.3297296893626,0.0,0.7229044827228334
N400_noise0p2,400,0.2,Estimate-then-optimise unconstrained,EtO,10,0.6571288789046177,0.10713574815587312,0.7057010913378219,459.3123895212094,0.6650937499999999,0.28645420304063407
N400_noise0p2,400,0.2,Estimate-then-optimise unconstrained learned-transition,EtO,10,0.5324966209763335,0.2080681418402265,0.5606048874297311,452.22949710861485,0.5114687499999999,0.4154329185329023
N400_noise0p2,400,0.2,Estimate-then-optimise structured learned-transition support top3,EtO,10,0.4836927921324635,0.02334668502558043,0.48806152371096334,449.44554352443004,0.0,0.7822567877633706
N400_noise0p2,400,0.2,Behaviour cloning,BC,10,0.36217046294308763,0.1380263976001865,0.3347977812514995,442.5065810901339,0.048625,0.8070266007397386
N400_noise0p2,400,0.2,Behaviour cloning support top3,BC,10,0.3105479419389777,0.1352965218950511,0.2957240615262522,439.55905939521944,0.0,0.8561875147772107
N400_noise0p2,400,0.2,Estimate-then-optimise unconstrained empirical-transition,EtO,10,-0.16957877583060654,0.05314129368959844,-0.17961932118917107,412.2950871922818,0.6724375,0.22841703843536534
N400_noise0p2,400,0.2,Estimate-then-optimise structured empirical-transition,EtO,10,-3.193031382075909,0.13607573228308414,-3.207863263971273,240.41436726727278,0.8298125000000001,0.13091230673428458
N400_noise0p2,400,0.2,Estimate-then-optimise structured,EtO,10,-4.043710708752529,0.45977147697717674,-4.210024144464686,191.99531760099174,0.85640625,0.16267786850081228
N400_noise0p2,400,0.2,Estimate-then-optimise structured learned-transition,EtO,10,-4.311583489699466,0.45647553244870853,-4.473048687834089,176.79388675697695,0.898375,0.12342347829728666
N400_noise0p5,400,0.5,Estimate-then-optimise unconstrained empirical-transition support top3,EtO,10,0.9881831820518341,0.009948828344629899,0.9921484902638891,478.1154208433128,0.0,0.7686871869450462
N400_noise0p5,400,0.5,Estimate-then-optimise unconstrained support top3,EtO,10,0.9704882716343608,0.029226247530678595,0.9766679135232923,477.10754060739407,0.0,0.7597650273595199
N400_noise0p5,400,0.5,Estimate-then-optimise structured support top3,EtO,10,0.9204970458653097,0.0518451541826638,0.9299580453978347,474.27550764126727,0.0,0.7369816237292299
N400_noise0p5,400,0.5,Estimate-then-optimise unconstrained learned-transition support top3,EtO,10,0.8834744364562059,0.084332249075793,0.9186550188047719,472.13932882276566,0.0,0.7372357007149559
N400_noise0p5,400,0.5,Estimate-then-optimise structured empirical-transition support top3,EtO,10,0.816118492439297,0.0963493890743702,0.7967651490485945,468.3299132002547,0.0,0.7242241241538763
N400_noise0p5,400,0.5,Estimate-then-optimise unconstrained,EtO,10,0.5438135162609321,0.16493948848025564,0.4936891230777498,452.8678731832245,0.75190625,0.21160008887869203
N400_noise0p5,400,0.5,Estimate-then-optimise structured learned-transition support top3,EtO,10,0.48638353031298537,0.018034380969444756,0.4898607741408628,449.59695384076514,0.0,0.7901669834975278
N400_noise0p5,400,0.5,Behaviour cloning,BC,10,0.36217046294308763,0.1380263976001865,0.3347977812514995,442.5065810901339,0.048625,0.8070266007397386
N400_noise0p5,400,0.5,Behaviour cloning support top3,BC,10,0.3105479419389777,0.1352965218950511,0.2957240615262522,439.55905939521944,0.0,0.8561875147772107
N400_noise0p5,400,0.5,Estimate-then-optimise unconstrained learned-transition,EtO,10,0.2701359912299665,0.3702087328487656,0.10030408280988931,437.3363229816967,0.67840625,0.2878399637465622
N400_noise0p5,400,0.5,Estimate-then-optimise unconstrained empirical-transition,EtO,10,-0.09061079142233064,0.1201190466835164,-0.15993306021896225,416.7730971405982,0.6483749999999999,0.24660169455880224
N400_noise0p5,400,0.5,Estimate-then-optimise structured empirical-transition,EtO,10,-3.2547719781021733,0.10128083811331343,-3.2140391153197667,236.90808643319164,0.8116562500000001,0.14801077507002097
N400_noise0p5,400,0.5,Estimate-then-optimise structured,EtO,10,-4.294483301551622,0.09904338458820948,-4.30431205478059,177.78064775171669,0.8586874999999999,0.1655961918023708
N400_noise0p5,400,0.5,Estimate-then-optimise structured learned-transition,EtO,10,-4.525445099811003,0.17957459185444818,-4.573246274069773,164.61859600060956,0.8946250000000001,0.1295929763168558
